Date,Price,Open,High,Low,Vol.,Change %
10/09/2019,1409.53,1416.49,1416.49,1393.24,396.28M,0
09/09/2019,1416.49,1426.76,1434.01,1408.87,378.74M,-0.01
06/09/2019,1426.76,1428.93,1432.04,1423.64,324.55M,0
05/09/2019,1428.93,1399.16,1433.89,1399.16,404.56M,0.02
04/09/2019,1399.16,1375.65,1399.64,1375.65,302.12M,0.02
03/09/2019,1375.65,1393.25,1393.25,1370.63,293.13M,-0.01
30/08/2019,1393.25,1393.07,1403.15,1382.79,296.63M,0
29/08/2019,1393.07,1369.42,1397.06,1369.42,287.58M,0.02
28/08/2019,1369.42,1368.12,1371.35,1351.2,296.79M,0
27/08/2019,1368.12,1369.95,1381.22,1360.35,341.79M,0
26/08/2019,1369.95,1351.11,1370.52,1351.11,315.21M,0.01
23/08/2019,1351.11,1397.29,1402.59,1346.04,521.86M,-0.03
22/08/2019,1397.29,1400.95,1407.51,1385.35,318.56M,0
21/08/2019,1400.95,1384.62,1404.4,1384.62,279.34M,0.01
20/08/2019,1384.62,1391.95,1396.71,1384.46,304.16M,-0.01
19/08/2019,1391.95,1370.62,1395.77,1370.62,372.56M,0.02
16/08/2019,1370.62,1345.34,1373.78,1345.34,404.69M,0.02
15/08/2019,1345.34,1347.85,1351.92,1334.32,430.75M,0
14/08/2019,1347.85,1391.09,1391.09,1344.59,503.50M,-0.03
13/08/2019,1391.09,1357.6,1396.48,1353.6,489.24M,0.02
12/08/2019,1357.6,1374.82,1374.82,1351.53,365.22M,-0.01
09/08/2019,1374.82,1392.17,1392.17,1365.24,460.33M,-0.01
08/08/2019,1392.17,1359.7,1392.39,1359.7,497.71M,0.02
07/08/2019,1359.7,1351.07,1362.92,1328.5,428.66M,0.01
06/08/2019,1351.07,1329.68,1355.65,1329.68,416.05M,0.02
05/08/2019,1329.68,1386.07,1386.07,1318.64,565.73M,-0.04
02/08/2019,1386.07,1409.78,1409.78,1374.5,497.37M,-0.02
